2021:07:06 17:27:50.992 INFO  --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021:07:06 17:27:50.998 INFO  --- [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021:07:06 17:27:51.008 INFO  --- [restartedMain] com.zaxxer.hikari.HikariDataSource : orasms-pool - Starting... 
2021:07:06 17:27:51.097 INFO  --- [restartedMain] com.zaxxer.hikari.HikariDataSource : orasms-pool - Start completed. 
2021:07:06 17:27:51.103 INFO  --- [restartedMain] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default] 
2021:07:06 17:27:51.128 INFO  --- [restartedMain] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MariaDB103Dialect 
2021:07:06 17:27:51.410 INFO  --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021:07:06 17:27:51.410 INFO  --- [restartedMain] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021:07:06 17:27:52.128 WARN  --- [restartedMain] o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration : Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) 
2021:07:06 17:27:52.202 INFO  --- [restartedMain] o.s.b.c.r.s.JobRepositoryFactoryBean : No database type set, using meta data indicating: ORACLE 
2021:07:06 17:27:52.215 INFO  --- [restartedMain] o.s.b.c.l.support.SimpleJobLauncher : No TaskExecutor has been set, defaulting to synchronous executor. 
2021:07:06 17:27:52.294 INFO  --- [restartedMain] org.quartz.impl.StdSchedulerFactory : Using default implementation for ThreadExecutor 
2021:07:06 17:27:52.301 INFO  --- [restartedMain] o.quartz.core.SchedulerSignalerImpl : Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl 
2021:07:06 17:27:52.301 INFO  --- [restartedMain] org.quartz.core.QuartzScheduler : Quartz Scheduler v.2.3.2 created. 
2021:07:06 17:27:52.301 INFO  --- [restartedMain] org.quartz.simpl.RAMJobStore : RAMJobStore initialized. 
2021:07:06 17:27:52.302 INFO  --- [restartedMain] org.quartz.core.QuartzScheduler : Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
 
2021:07:06 17:27:52.302 INFO  --- [restartedMain] org.quartz.impl.StdSchedulerFactory : Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance. 
2021:07:06 17:27:52.302 INFO  --- [restartedMain] org.quartz.impl.StdSchedulerFactory : Quartz scheduler version: 2.3.2 
2021:07:06 17:27:52.302 INFO  --- [restartedMain] org.quartz.core.QuartzScheduler : JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@3d8ccb0f 
2021:07:06 17:27:52.319 INFO  --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer : LiveReload server is running on port 35729 
2021:07:06 17:27:52.348 INFO  --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path '' 
2021:07:06 17:27:52.350 INFO  --- [restartedMain] o.s.s.quartz.SchedulerFactoryBean : Starting Quartz Scheduler now 
2021:07:06 17:27:52.350 INFO  --- [restartedMain] org.quartz.core.QuartzScheduler : Scheduler quartzScheduler_$_NON_CLUSTERED started. 
2021:07:06 17:27:52.360 INFO  --- [restartedMain] c.f.msg_tuning.MsgTuningApplication : Started MsgTuningApplication in 4.292 seconds (JVM running for 5.008) 
2021:07:06 17:27:52.362 INFO  --- [restartedMain] o.s.b.a.b.JobLauncherApplicationRunner : Running default command line with: [] 
2021:07:06 17:28:21.263 INFO  --- [SpringApplicationShutdownHook] org.quartz.core.QuartzScheduler : Scheduler quartzScheduler_$_NON_CLUSTERED paused. 
2021:07:06 17:28:21.282 INFO  --- [SpringApplicationShutdownHook] o.s.s.quartz.SchedulerFactoryBean : Shutting down Quartz Scheduler 
2021:07:06 17:28:21.282 INFO  --- [SpringApplicationShutdownHook] org.quartz.core.QuartzScheduler : Scheduler quartzScheduler_$_NON_CLUSTERED shutting down. 
2021:07:06 17:28:21.282 INFO  --- [SpringApplicationShutdownHook] org.quartz.core.QuartzScheduler : Scheduler quartzScheduler_$_NON_CLUSTERED paused. 
2021:07:06 17:28:21.282 INFO  --- [SpringApplicationShutdownHook] org.quartz.core.QuartzScheduler : Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete. 
2021:07:06 17:28:21.285 INFO  --- [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default' 
2021:07:06 17:28:21.286 INFO  --- [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default' 
